well_tag_number,development_method_code
70073,AIR_LIFT
70073,SURGE
70085,SURGE
70085,BAIL
70089,BAIL
70099,SURGE
70099,BAIL
70101,BAIL
70101,SURGE
70130,AIR_LIFT
70142,AIR_LIFT
70149,AIR_LIFT
70151,AIR_LIFT
70161,AIR_LIFT
70175,PUMP
70290,BAIL
70308,AIR_LIFT
70310,AIR_LIFT
70312,AIR_LIFT
70314,AIR_LIFT
70316,AIR_LIFT
70377,AIR_LIFT
70386,SURGE
70387,BAIL
70387,SURGE
70388,SURGE
70390,BAIL
70391,BAIL
70391,SURGE
70392,BAIL
70393,BAIL
70394,SURGE
70394,BAIL
70396,BAIL
70396,SURGE
70508,BAIL
70531,AIR_LIFT
70549,SURGE
70550,SURGE
70550,BAIL
70551,BAIL
70551,SURGE
70656,SURGE
70656,BAIL
70656,PUMP
70758,AIR_LIFT
71064,AIR_LIFT
71066,AIR_LIFT
71067,AIR_LIFT
71069,AIR_LIFT
71070,AIR_LIFT
71071,AIR_LIFT
71072,AIR_LIFT
71073,AIR_LIFT
71074,AIR_LIFT
71075,AIR_LIFT
71078,AIR_LIFT
71124,AIR_LIFT
71402,BAIL
71402,SURGE
71402,JET
71936,AIR_LIFT
72454,AIR_LIFT
72751,AIR_LIFT
72759,SURGE
72759,BAIL
72961,AIR_LIFT
72961,SURGE
73457,AIR_LIFT
73476,AIR_LIFT
73480,AIR_LIFT
73486,AIR_LIFT
73487,AIR_LIFT
73489,AIR_LIFT
73503,AIR_LIFT
73505,AIR_LIFT
73523,AIR_LIFT
73530,AIR_LIFT
73545,AIR_LIFT
73549,AIR_LIFT
73570,BAIL
73579,BAIL
73625,AIR_LIFT
73648,BAIL
73817,AIR_LIFT
73820,AIR_LIFT
73829,AIR_LIFT
73839,AIR_LIFT
73952,BAIL
73952,SURGE
73955,BAIL
73955,SURGE
73979,PUMP
73979,OTHER
73979,AIR_LIFT
74279,BAIL
74288,BAIL
74305,BAIL
74313,AIR_LIFT
74382,BAIL
74437,BAIL
74437,AIR_LIFT
74727,AIR_LIFT
74732,AIR_LIFT
74765,AIR_LIFT
74767,AIR_LIFT
74778,AIR_LIFT
74779,AIR_LIFT
74782,BAIL
74786,BAIL
74787,BAIL
74902,BAIL
74910,AIR_LIFT
75020,AIR_LIFT
75058,AIR_LIFT
75140,AIR_LIFT
75328,AIR_LIFT
75521,AIR_LIFT
75580,AIR_LIFT
75580,BAIL
75581,PUMP
75581,SURGE
75608,AIR_LIFT
76230,AIR_LIFT
76235,AIR_LIFT
76261,AIR_LIFT
76287,AIR_LIFT
76299,AIR_LIFT
76329,AIR_LIFT
76331,AIR_LIFT
76333,AIR_LIFT
76334,AIR_LIFT
76350,AIR_LIFT
76357,AIR_LIFT
76365,AIR_LIFT
76369,AIR_LIFT
76410,AIR_LIFT
76413,AIR_LIFT
76414,AIR_LIFT
76416,AIR_LIFT
76426,AIR_LIFT
76431,AIR_LIFT
76436,AIR_LIFT
76437,AIR_LIFT
76441,AIR_LIFT
76451,AIR_LIFT
76452,AIR_LIFT
76469,AIR_LIFT
76471,AIR_LIFT
76482,AIR_LIFT
76485,AIR_LIFT
76487,AIR_LIFT
76488,AIR_LIFT
76489,AIR_LIFT
76492,AIR_LIFT
76493,AIR_LIFT
76495,AIR_LIFT
76500,AIR_LIFT
76505,AIR_LIFT
76509,AIR_LIFT
76517,AIR_LIFT
76525,AIR_LIFT
76533,AIR_LIFT
76534,AIR_LIFT
76730,AIR_LIFT
76777,AIR_LIFT
76778,AIR_LIFT
76833,BAIL
76837,BAIL
76859,BAIL
76874,BAIL
76875,BAIL
76888,BAIL
76901,BAIL
76904,BAIL
76914,BAIL
76920,BAIL
76925,BAIL
76934,OTHER
76956,BAIL
76962,BAIL
76971,BAIL
77079,BAIL
77080,AIR_LIFT
77087,AIR_LIFT
77101,AIR_LIFT
77115,AIR_LIFT
77119,AIR_LIFT
77135,AIR_LIFT
77165,AIR_LIFT
77166,AIR_LIFT
77167,BAIL
77171,AIR_LIFT
77182,AIR_LIFT
77192,AIR_LIFT
77193,AIR_LIFT
77194,AIR_LIFT
77212,AIR_LIFT
77732,BAIL
77738,PUMP
77758,BAIL
77758,PUMP
77778,OTHER
77796,BAIL
77796,PUMP
77799,BAIL
77799,PUMP
77807,AIR_LIFT
77900,AIR_LIFT
78019,BAIL
78056,AIR_LIFT
78060,AIR_LIFT
78069,AIR_LIFT
78094,BAIL
78388,PUMP
78388,SURGE
78388,BAIL
78504,BAIL
78563,BAIL
78597,AIR_LIFT
78707,AIR_LIFT
78766,AIR_LIFT
78870,SURGE
78870,BAIL
78886,BAIL
78886,SURGE
78917,BAIL
78926,BAIL
78926,SURGE
78940,SURGE
78940,BAIL
78957,SURGE
78957,BAIL
78977,SURGE
78977,BAIL
78981,BAIL
78981,SURGE
78993,BAIL
78997,SURGE
78997,BAIL
79000,BAIL
79180,AIR_LIFT
79249,PUMP
79281,AIR_LIFT
79282,AIR_LIFT
79300,AIR_LIFT
79349,AIR_LIFT
79384,AIR_LIFT
79412,AIR_LIFT
79413,AIR_LIFT
79418,AIR_LIFT
79419,AIR_LIFT
79441,AIR_LIFT
79442,AIR_LIFT
79443,AIR_LIFT
79449,AIR_LIFT
79453,AIR_LIFT
79454,AIR_LIFT
79467,PUMP
79467,AIR_LIFT
